FL_DATE,UNIQUE_CARRIER,AIRLINE_ID,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,DISTANCE
2015-01-01,EV,20366,EV,5314,11003,1100303,31003,CID,13487,1348702,31650,MSP,1300,1256,-4.00,11.00,1307,1348,10.00,1408,1358,-10.00,0.00,,0.00,220.00
2015-01-01,EV,20366,EV,5165,10397,1039705,30397,ATL,11982,1198202,31982,GRK,1026,1024,-2.00,18.00,1042,1144,4.00,1157,1148,-9.00,0.00,,0.00,803.00
2015-01-01,EV,20366,EV,5165,11982,1198202,31982,GRK,10397,1039705,30397,ATL,1234,1229,-5.00,9.00,1238,1517,8.00,1535,1525,-10.00,0.00,,0.00,803.00
2015-01-01,EV,20366,EV,5166,12217,1221702,30255,HSV,10397,1039705,30397,ATL,1431,1427,-4.00,12.00,1439,1609,6.00,1624,1615,-9.00,0.00,,0.00,151.00
2015-01-01,EV,20366,EV,5167,13931,1393102,33667,ORF,10397,1039705,30397,ATL,1619,1616,-3.00,20.00,1636,1805,7.00,1817,1812,-5.00,0.00,,0.00,516.00
2015-01-01,EV,20366,EV,5169,12266,1226603,31453,IAH,11433,1143302,31295,DTW,1100,1050,-10.00,12.00,1102,1417,7.00,1444,1424,-20.00,0.00,,0.00,1075.00
2015-01-01,EV,20366,EV,5172,10599,1059904,30599,BHM,11433,1143302,31295,DTW,1129,1124,-5.00,10.00,1134,1406,6.00,1431,1412,-19.00,0.00,,0.00,625.00
2015-01-01,EV,20366,EV,5175,10397,1039705,30397,ATL,11003,1100303,31003,CID,1049,1107,18.00,19.00,1126,1213,11.00,1202,1224,22.00,0.00,,0.00,694.00
2015-01-01,EV,20366,EV,5179,10792,1079204,30792,BUF,11433,1143302,31295,DTW,1305,1257,-8.00,21.00,1318,1411,4.00,1431,1415,-16.00,0.00,,0.00,241.00
2015-01-01,EV,20366,EV,5181,10397,1039705,30397,ATL,10980,1098002,30980,CHA,1613,1610,-3.00,12.00,1622,1645,4.00,1700,1649,-11.00,0.00,,0.00,106.00
2015-01-01,EV,20366,EV,5183,10397,1039705,30397,ATL,13277,1327702,33277,MGM,1120,1122,2.00,12.00,1134,1103,3.00,1112,1106,-6.00,0.00,,0.00,147.00
2015-01-01,EV,20366,EV,5185,10397,1039705,30397,ATL,15624,1562401,31504,VPS,2155,2155,0.00,11.00,2206,2149,5.00,2205,2154,-11.00,0.00,,0.00,250.00
2015-01-01,EV,20366,EV,5272,10397,1039705,30397,ATL,11259,1125903,30194,DAL,1339,1335,-4.00,10.00,1345,1443,7.00,1501,1450,-11.00,0.00,,0.00,721.00
2015-01-01,EV,20366,EV,5274,10397,1039705,30397,ATL,13367,1336703,33367,MLI,1455,1450,-5.00,13.00,1503,1539,1.00,1553,1540,-13.00,0.00,,0.00,633.00
2015-01-01,EV,20366,EV,5274,13367,1336703,33367,MLI,10397,1039705,30397,ATL,1628,1624,-4.00,7.00,1631,1858,11.00,1915,1909,-6.00,0.00,,0.00,633.00
2015-01-01,EV,20366,EV,5275,12448,1244805,32448,JAN,10397,1039705,30397,ATL,0600,0559,-1.00,12.00,0611,0802,7.00,0819,0809,-10.00,0.00,,0.00,341.00
2015-01-01,EV,20366,EV,5276,10980,1098002,30980,CHA,10397,1039705,30397,ATL,0810,0804,-6.00,24.00,0828,0853,3.00,0905,0856,-9.00,0.00,,0.00,106.00
2015-01-01,EV,20366,EV,5283,11612,1161203,31612,EVV,11433,1143302,31295,DTW,0840,0833,-7.00,14.00,0847,1046,6.00,1104,1052,-12.00,0.00,,0.00,363.00
2015-01-01,EV,20366,EV,5287,13487,1348702,31650,MSP,14524,1452401,34524,RIC,1550,1637,47.00,15.00,1652,1939,4.00,1922,1943,21.00,0.00,,0.00,970.00
2015-01-01,EV,20366,EV,5288,14524,1452401,34524,RIC,13487,1348702,31650,MSP,0830,0825,-5.00,16.00,0841,1029,6.00,1029,1035,6.00,0.00,,0.00,970.00
